Time(s),Position(m),Velocity(m/s),Acceleration(m/s²)
28.84,820.56,29.74,0.0
28.85,820.85,29.74,0.0
28.86,821.15,29.74,0.0
28.87,821.45,29.74,0.0
28.88,821.75,29.74,0.0
28.89,822.04,29.74,0.0
28.9,822.34,29.74,0.0
28.91,822.64,29.74,0.0
28.92,822.94,29.74,0.0
28.93,823.23,29.74,0.0
28.94,823.53,29.74,0.0
28.95,823.83,29.74,0.0
28.96,824.13,29.74,0.0
28.97,824.42,29.74,0.0
28.98,824.72,29.74,0.0
28.99,825.02,29.74,0.0
29.0,825.32,29.74,0.0
29.01,825.61,29.74,0.0
29.02,825.91,29.74,0.0
29.03,826.21,29.74,0.0
29.04,826.5,29.74,0.0
29.05,826.8,29.74,0.0
29.06,827.1,29.74,0.0
29.07,827.4,29.74,0.0
29.08,827.69,29.74,0.0
29.09,827.99,29.74,0.0
29.1,828.29,29.74,0.0
29.11,828.59,29.74,0.0
29.12,828.88,29.74,0.0
29.13,829.18,29.74,0.0
29.14,829.48,29.74,0.0
29.15,829.78,29.74,0.0
29.16,830.07,29.74,0.0
29.17,830.37,29.74,0.0
29.18,830.67,29.74,0.0
29.19,830.97,29.74,0.0
29.2,831.26,29.74,0.0
29.21,831.56,29.74,0.0
29.22,831.86,29.74,0.0
29.23,832.16,29.74,0.0
29.24,832.45,29.74,0.0
29.25,832.75,29.74,0.0
29.26,833.05,29.74,0.0
29.27,833.35,29.74,0.0
29.28,833.64,29.74,0.0
29.29,833.94,29.74,0.0
29.3,834.24,29.74,0.0
29.31,834.54,29.74,0.0
29.32,834.83,29.74,0.0
29.33,835.13,29.74,0.0
29.34,835.43,29.74,0.0
29.35,835.72,29.74,0.0
29.36,836.02,29.74,0.0
29.37,836.32,29.74,0.0
29.38,836.62,29.74,0.0
29.39,836.91,29.74,0.0
29.4,837.21,29.74,0.0
29.41,837.51,29.74,0.0
29.42,837.81,29.74,0.0
29.43,838.1,29.74,0.0
29.44,838.4,29.74,0.0
29.45,838.7,29.74,0.0
29.46,839.0,29.74,0.0
29.47,839.29,29.74,0.0
29.48,839.59,29.74,0.0
29.49,839.89,29.74,0.0
29.5,840.19,29.74,0.0
29.51,840.48,29.74,0.0
29.52,840.78,29.74,0.0
29.53,841.08,29.74,0.0
29.54,841.38,29.74,0.0
29.55,841.67,29.74,0.0
29.56,841.97,29.74,0.0
29.57,842.27,29.74,0.0
29.58,842.57,29.74,0.0
29.59,842.86,29.74,0.0
29.6,843.16,29.74,0.0
29.61,843.46,29.74,0.0
29.62,843.76,29.74,0.0
29.63,844.05,29.74,0.0
29.64,844.35,29.74,0.0
29.65,844.65,29.74,0.0
29.66,844.94,29.74,0.0
29.67,845.24,29.74,0.0
29.68,845.54,29.74,0.0
29.69,845.84,29.74,0.0
29.7,846.13,29.74,0.0
29.71,846.43,29.74,0.0
29.72,846.73,29.74,0.0
29.73,847.03,29.74,0.0
29.74,847.32,29.74,0.0
29.75,847.62,29.74,0.0
29.76,847.92,29.74,0.0
29.77,848.22,29.74,0.0
29.78,848.51,29.74,0.0
29.79,848.81,29.74,0.0
29.8,849.11,29.74,0.0
29.81,849.41,29.74,0.0
29.82,849.7,29.74,0.0
29.83,850.0,29.74,0.0
29.84,850.3,29.74,0.0
29.85,850.6,29.74,0.0
29.86,850.89,29.74,0.0
29.87,851.19,29.74,0.0
29.88,851.49,29.74,0.0
29.89,851.79,29.74,0.0
29.9,852.08,29.74,0.0
29.91,852.38,29.74,0.0
29.92,852.68,29.74,0.0
29.93,852.98,29.74,0.0
29.94,853.27,29.74,0.0
29.95,853.57,29.74,0.0
29.96,853.87,29.74,0.0
29.97,854.16,29.74,0.0
29.98,854.46,29.74,0.0
29.99,854.76,29.74,0.0
30.0,855.06,29.74,0.0
30.01,855.35,29.74,0.0
30.02,855.65,29.74,0.0
30.03,855.95,29.74,0.0
30.04,856.25,29.74,0.0
30.05,856.54,29.74,0.0
30.06,856.84,29.74,0.0
30.07,857.14,29.74,0.0
30.08,857.44,29.74,0.0
30.09,857.73,29.74,0.0
30.1,858.03,29.74,0.0
30.11,858.33,29.74,0.0
30.12,858.63,29.74,0.0
30.13,858.92,29.74,0.0
30.14,859.22,29.74,0.0
30.15,859.52,29.74,0.0
30.16,859.82,29.74,0.0
30.17,860.11,29.74,0.0
30.18,860.41,29.74,0.0
30.19,860.71,29.74,0.0
30.2,861.01,29.74,0.0
30.21,861.3,29.74,0.0
30.22,861.6,29.74,0.0
30.23,861.9,29.74,0.0
30.24,862.2,29.74,0.0
30.25,862.49,29.74,0.0
30.26,862.79,29.74,0.0
30.27,863.09,29.74,0.0
30.28,863.38,29.74,0.0
30.29,863.68,29.74,0.0
30.3,863.98,29.74,0.0
30.31,864.28,29.74,0.0
30.32,864.57,29.74,0.0
30.33,864.87,29.74,0.0
30.34,865.17,29.74,0.0
30.35,865.47,29.74,0.0
30.36,865.76,29.74,0.0
30.37,866.06,29.74,0.0
30.38,866.36,29.74,0.0
30.39,866.66,29.74,0.0
30.4,866.95,29.74,0.0
30.41,867.25,29.74,0.0
30.42,867.55,29.74,0.0
30.43,867.85,29.74,0.0
30.44,868.14,29.74,0.0
30.45,868.44,29.74,0.0
30.46,868.74,29.74,0.0
30.47,869.04,29.74,0.0
30.48,869.33,29.74,0.0
30.49,869.63,29.74,0.0
30.5,869.93,29.74,0.0
30.51,870.23,29.74,0.0
30.52,870.52,29.74,0.0
30.53,870.82,29.74,0.0
30.54,871.12,29.74,0.0
30.55,871.42,29.74,0.0
30.56,871.71,29.74,0.0
30.57,872.01,29.74,0.0
30.58,872.31,29.74,0.0
30.59,872.6,29.74,0.0
30.6,872.9,29.74,0.0
30.61,873.2,29.74,0.0
30.62,873.5,29.74,0.0
30.63,873.79,29.74,0.0
30.64,874.09,29.74,0.0
30.65,874.39,29.74,0.0
30.66,874.69,29.74,0.0
30.67,874.98,29.74,0.0
30.68,875.28,29.74,0.0
30.69,875.58,29.74,0.0
30.7,875.88,29.74,0.0
30.71,876.17,29.74,0.0
30.72,876.47,29.74,0.0
30.73,876.77,29.74,0.0
30.74,877.07,29.74,0.0
30.75,877.36,29.74,0.0
30.76,877.66,29.74,0.0
30.77,877.96,29.74,0.0
30.78,878.26,29.74,0.0
30.79,878.55,29.74,0.0
30.8,878.85,29.74,0.0
30.81,879.15,29.74,0.0
30.82,879.45,29.74,0.0
30.83,879.74,29.74,0.0
30.84,880.04,29.74,0.0
30.85,880.34,29.74,0.0
30.86,880.63,29.74,0.0
30.87,880.93,29.74,0.0
30.88,881.23,29.74,0.0
30.89,881.53,29.74,0.0
30.9,881.82,29.74,0.0
30.91,882.12,29.74,0.0
30.92,882.42,29.74,0.0
30.93,882.72,29.74,0.0
30.94,883.01,29.74,0.0
30.95,883.31,29.74,0.0
30.96,883.61,29.74,0.0
30.97,883.91,29.74,0.0
30.98,884.2,29.74,0.0
30.99,884.5,29.74,0.0
31.0,884.8,29.74,0.0
31.01,885.1,29.74,0.0
31.02,885.39,29.74,0.0
31.03,885.69,29.74,0.0
31.04,885.99,29.74,0.0
31.05,886.29,29.74,0.0
31.06,886.58,29.74,0.0
31.07,886.88,29.74,0.0
31.08,887.18,29.74,0.0
31.09,887.48,29.74,0.0
31.1,887.77,29.74,0.0
31.11,888.07,29.74,0.0
31.12,888.37,29.74,0.0
31.13,888.67,29.74,0.0
31.14,888.96,29.74,0.0
31.15,889.26,29.74,0.0
31.16,889.56,29.74,0.0
31.17,889.85,29.74,0.0
31.18,890.15,29.74,0.0
31.19,890.45,29.74,0.0
31.2,890.75,29.74,0.0
31.21,891.04,29.74,0.0
31.22,891.34,29.74,0.0
31.23,891.64,29.74,0.0
31.24,891.94,29.74,0.0
31.25,892.23,29.74,0.0
31.26,892.53,29.74,0.0
31.27,892.83,29.74,0.0
31.28,893.13,29.74,0.0
31.29,893.42,29.74,0.0
31.3,893.72,29.74,0.0
31.31,894.02,29.74,0.0
31.32,894.32,29.74,0.0
31.33,894.61,29.74,0.0
31.34,894.91,29.74,0.0
31.35,895.21,29.74,0.0
31.36,895.51,29.74,0.0
31.37,895.8,29.74,0.0
31.38,896.1,29.74,0.0
31.39,896.4,29.74,0.0
31.4,896.7,29.74,0.0
31.41,896.99,29.74,0.0
31.42,897.29,29.74,0.0
31.43,897.59,29.74,0.0
31.44,897.89,29.74,0.0
31.45,898.18,29.74,0.0
31.46,898.48,29.74,0.0
31.47,898.78,29.74,0.0
31.48,899.07,29.74,0.0
31.49,899.37,29.74,0.0
31.5,899.67,29.74,0.0
31.51,899.97,29.74,0.0
31.52,900.26,29.74,0.0
31.53,900.56,29.74,0.0
31.54,900.86,29.74,0.0
31.55,901.16,29.74,0.0
31.56,901.45,29.74,0.0
31.57,901.75,29.74,0.0
31.58,902.05,29.74,0.0
31.59,902.35,29.74,0.0
31.6,902.64,29.74,0.0
31.61,902.94,29.74,0.0
31.62,903.24,29.74,0.0
31.63,903.54,29.74,0.0
31.64,903.83,29.74,0.0
31.65,904.13,29.74,0.0
31.66,904.43,29.74,0.0
31.67,904.73,29.74,0.0
31.68,905.02,29.74,0.0
31.69,905.32,29.74,0.0
31.7,905.62,29.74,0.0
31.71,905.92,29.74,0.0
31.72,906.21,29.74,0.0
31.73,906.51,29.74,0.0
31.74,906.81,29.74,0.0
31.75,907.11,29.74,0.0
31.76,907.4,29.74,0.0
31.77,907.7,29.74,0.0
31.78,908.0,29.74,0.0
31.79,908.29,29.74,0.0
31.8,908.59,29.74,0.0
31.81,908.89,29.74,0.0
31.82,909.19,29.74,0.0
31.83,909.48,29.74,0.0
31.84,909.78,29.74,0.0
31.85,910.08,29.74,0.0
31.86,910.38,29.74,0.0
31.87,910.67,29.74,0.0
31.88,910.97,29.74,0.0
31.89,911.27,29.74,0.0
31.9,911.57,29.74,0.0
31.91,911.86,29.74,0.0
31.92,912.16,29.74,0.0
31.93,912.46,29.74,0.0
31.94,912.76,29.74,0.0
31.95,913.05,29.74,0.0
31.96,913.35,29.74,0.0
31.97,913.65,29.74,0.0
31.98,913.95,29.74,0.0
31.99,914.24,29.74,0.0
32.0,914.54,29.74,0.0
32.01,914.84,29.74,0.0
32.02,915.14,29.74,0.0
32.03,915.43,29.74,0.0
32.04,915.73,29.74,0.0
32.05,916.03,29.74,0.0
32.06,916.33,29.74,0.0
32.07,916.62,29.74,0.0
32.08,916.92,29.74,0.0
32.09,917.22,29.74,0.0
32.1,917.51,29.74,0.0
32.11,917.81,29.74,0.0
32.12,918.11,29.74,0.0
32.13,918.41,29.74,0.0
32.14,918.7,29.74,0.0
32.15,919.0,29.74,0.0
32.16,919.3,29.74,0.0
32.17,919.6,29.74,0.0
32.18,919.89,29.74,0.0
32.19,920.19,29.74,0.0
32.2,920.49,29.74,0.0
32.21,920.79,29.74,0.0
32.22,921.08,29.74,0.0
32.23,921.38,29.74,0.0
32.24,921.68,29.74,0.0
32.25,921.98,29.74,0.0
32.26,922.27,29.74,0.0
32.27,922.57,29.74,0.0
32.28,922.87,29.74,0.0
32.29,923.17,29.74,0.0
32.3,923.46,29.74,0.0
32.31,923.76,29.74,0.0
32.32,924.06,29.74,0.0
32.33,924.36,29.74,0.0
32.34,924.65,29.74,0.0
32.35,924.95,29.74,0.0
32.36,925.25,29.74,0.0
32.37,925.55,29.74,0.0
32.38,925.84,29.74,0.0
32.39,926.14,29.74,0.0
32.4,926.44,29.74,0.0
32.41,926.73,29.74,0.0
32.42,927.03,29.74,0.0
32.43,927.33,29.74,0.0
32.44,927.63,29.74,0.0
32.45,927.92,29.74,0.0
32.46,928.22,29.74,0.0
32.47,928.52,29.74,0.0
32.48,928.82,29.74,0.0
32.49,929.11,29.74,0.0
32.5,929.41,29.74,0.0
32.51,929.71,29.74,0.0
32.52,930.01,29.74,0.0
32.53,930.3,29.74,0.0
32.54,930.6,29.74,0.0
32.55,930.9,29.74,0.0
32.56,931.2,29.74,0.0
32.57,931.49,29.74,0.0
32.58,931.79,29.74,0.0
32.59,932.09,29.74,0.0
32.6,932.39,29.74,0.0
32.61,932.68,29.74,0.0
32.62,932.98,29.74,0.0
32.63,933.28,29.74,0.0
32.64,933.58,29.74,0.0
32.65,933.87,29.74,0.0
32.66,934.17,29.74,0.0
32.67,934.47,29.74,0.0
32.68,934.77,29.74,0.0
32.69,935.06,29.74,0.0
32.7,935.36,29.74,0.0
32.71,935.66,29.74,0.0
32.72,935.95,29.74,0.0
32.73,936.25,29.74,0.0
32.74,936.55,29.74,0.0
32.75,936.85,29.74,0.0
32.76,937.14,29.74,0.0
32.77,937.44,29.74,0.0
32.78,937.74,29.74,0.0
32.79,938.04,29.74,0.0
32.8,938.33,29.74,0.0
32.81,938.63,29.74,0.0
32.82,938.93,29.74,0.0
32.83,939.23,29.74,0.0
32.84,939.52,29.74,0.0
32.85,939.82,29.74,0.0
32.86,940.12,29.74,0.0
32.87,940.42,29.74,0.0
32.88,940.71,29.74,0.0
32.89,941.01,29.74,0.0
32.9,941.31,29.74,0.0
32.91,941.61,29.74,0.0
32.92,941.9,29.74,0.0
32.93,942.2,29.74,0.0
32.94,942.5,29.74,0.0
32.95,942.8,29.74,0.0
32.96,943.09,29.74,0.0
32.97,943.39,29.74,0.0
32.98,943.69,29.74,0.0
32.99,943.99,29.74,0.0
33.0,944.28,29.74,0.0
33.01,944.58,29.74,0.0
33.02,944.88,29.74,0.0
33.03,945.17,29.74,0.0
33.04,945.47,29.74,0.0
33.05,945.77,29.74,0.0
33.06,946.07,29.74,0.0
33.07,946.36,29.74,0.0
33.08,946.66,29.74,0.0
33.09,946.96,29.74,0.0
33.1,947.26,29.74,0.0
33.11,947.55,29.74,0.0
33.12,947.85,29.74,0.0
33.13,948.15,29.74,0.0
33.14,948.45,29.74,0.0
33.15,948.74,29.74,0.0
33.16,949.04,29.74,0.0
33.17,949.34,29.74,0.0
33.18,949.64,29.74,0.0
33.19,949.93,29.74,0.0
33.2,950.23,29.74,0.0
33.21,950.53,29.74,0.0
33.22,950.83,29.74,0.0
33.23,951.12,29.74,0.0
33.24,951.42,29.74,0.0
33.25,951.72,29.74,0.0
33.26,952.02,29.74,0.0
33.27,952.31,29.74,0.0
33.28,952.61,29.74,0.0
33.29,952.91,29.74,0.0
33.3,953.21,29.74,0.0
33.31,953.5,29.74,0.0
33.32,953.8,29.74,0.0
33.33,954.1,29.74,0.0
33.34,954.39,29.74,0.0
33.35,954.69,29.74,0.0
33.36,954.99,29.74,0.0
33.37,955.29,29.74,0.0
33.38,955.58,29.74,0.0
33.39,955.88,29.74,0.0
33.4,956.18,29.74,0.0
33.41,956.48,29.74,0.0
33.42,956.77,29.74,0.0
33.43,957.07,29.74,0.0
33.44,957.37,29.74,0.0
33.45,957.67,29.74,0.0
33.46,957.96,29.74,0.0
33.47,958.26,29.74,0.0
33.48,958.56,29.74,0.0
33.49,958.86,29.74,0.0
33.5,959.15,29.74,0.0
33.51,959.45,29.74,0.0
33.52,959.75,29.74,0.0
33.53,960.05,29.74,0.0
33.54,960.34,29.74,0.0
33.55,960.64,29.74,0.0
33.56,960.94,29.74,0.0
33.57,961.24,29.74,0.0
33.58,961.53,29.74,0.0
33.59,961.83,29.74,0.0
33.6,962.13,29.74,0.0
33.61,962.42,29.74,0.0
33.62,962.72,29.74,0.0
33.63,963.02,29.74,0.0
33.64,963.32,29.74,0.0
33.65,963.61,29.74,0.0
33.66,963.91,29.74,0.0
33.67,964.21,29.74,0.0
33.68,964.51,29.74,0.0
33.69,964.8,29.74,0.0
33.7,965.1,29.74,0.0
33.71,965.4,29.74,0.0
33.72,965.7,29.74,0.0
33.73,965.99,29.74,0.0
33.74,966.29,29.74,0.0
33.75,966.59,29.74,0.0
33.76,966.89,29.74,0.0
33.77,967.18,29.74,0.0
33.78,967.48,29.74,0.0
33.79,967.78,29.74,0.0
33.8,968.08,29.74,0.0
33.81,968.37,29.74,0.0
33.82,968.67,29.74,0.0
33.83,968.97,29.74,0.0
33.84,969.27,29.74,0.0
33.85,969.56,29.74,0.0
33.86,969.86,29.74,0.0
33.87,970.16,29.74,0.0
33.88,970.46,29.74,0.0
33.89,970.75,29.74,0.0
33.9,971.05,29.74,0.0
33.91,971.35,29.74,0.0
33.92,971.64,29.74,0.0
33.93,971.94,29.74,0.0
33.94,972.24,29.74,0.0
33.95,972.54,29.74,0.0
33.96,972.83,29.74,0.0
33.97,973.13,29.74,0.0
33.98,973.43,29.74,0.0
33.99,973.73,29.74,0.0
34.0,974.02,29.74,0.0
34.01,974.32,29.74,0.0
34.02,974.62,29.74,0.0
34.03,974.92,29.74,0.0
34.04,975.21,29.74,0.0
34.05,975.51,29.74,0.0
34.06,975.81,29.74,0.0
34.07,976.11,29.74,0.0
34.08,976.4,29.74,0.0
34.09,976.7,29.74,0.0
34.1,977.0,29.74,0.0
34.11,977.3,29.74,0.0
34.12,977.59,29.74,0.0
34.13,977.89,29.74,0.0
34.14,978.19,29.74,0.0
34.15,978.49,29.74,0.0
34.16,978.78,29.74,0.0
34.17,979.08,29.74,0.0
34.18,979.38,29.74,0.0
34.19,979.68,29.74,0.0
34.2,979.97,29.74,0.0
34.21,980.27,29.74,0.0
34.22,980.57,29.74,0.0
34.23,980.86,29.74,0.0
34.24,981.16,29.74,0.0
34.25,981.46,29.74,0.0
34.26,981.76,29.74,0.0
34.27,982.05,29.74,0.0
34.28,982.35,29.74,0.0
34.29,982.65,29.74,0.0
34.3,982.95,29.74,0.0
34.31,983.24,29.74,0.0
34.32,983.54,29.74,0.0
34.33,983.84,29.74,0.0
34.34,984.14,29.74,0.0
34.35,984.43,29.74,0.0
34.36,984.73,29.74,0.0
34.37,985.03,29.74,0.0
34.38,985.33,29.74,0.0
34.39,985.62,29.74,0.0
34.4,985.92,29.74,0.0
34.41,986.22,29.74,0.0
34.42,986.52,29.74,0.0
34.43,986.81,29.74,0.0
34.44,987.11,29.74,0.0
34.45,987.41,29.74,0.0
34.46,987.71,29.74,0.0
34.47,988.0,29.74,0.0
34.48,988.3,29.74,0.0
34.49,988.6,29.74,0.0
34.5,988.9,29.74,0.0
34.51,989.19,29.74,0.0
34.52,989.49,29.74,0.0
34.53,989.79,29.74,0.0
34.54,990.08,29.74,0.0
34.55,990.38,29.74,0.0
34.56,990.68,29.74,0.0
34.57,990.98,29.74,0.0
34.58,991.27,29.74,0.0
34.59,991.57,29.74,0.0
34.6,991.87,29.74,0.0
34.61,992.17,29.74,0.0
34.62,992.46,29.74,0.0
34.63,992.76,29.74,0.0
34.64,993.06,29.74,0.0
34.65,993.36,29.74,0.0
34.66,993.65,29.74,0.0
34.67,993.95,29.74,0.0
34.68,994.25,29.74,0.0
34.69,994.55,29.74,0.0
34.7,994.84,29.74,0.0
34.71,995.14,29.74,0.0
34.72,995.44,29.74,0.0
34.73,995.74,29.74,0.0
34.74,996.03,29.74,0.0
34.75,996.33,29.74,0.0
34.76,996.63,29.74,0.0
34.77,996.93,29.74,0.0
34.78,997.22,29.74,0.0
34.79,997.52,29.74,0.0
34.8,997.82,29.74,0.0
34.81,998.12,29.74,0.0
34.82,998.41,29.74,0.0
34.83,998.71,29.74,0.0
34.84,999.01,29.74,0.0
34.85,999.3,29.74,0.0
34.86,999.6,29.74,0.0
34.87,999.9,29.74,0.0
34.88,1000.2,29.74,0.0
