Thrust (N),Watts (w),Ve (m/s)
3.17,192.32,14.21
3.18,192.81,14.23
3.18,193.29,14.24
3.19,193.78,14.26
3.19,194.27,14.27
3.2,194.76,14.29
3.21,195.25,14.31
3.22,195.74,14.32
3.23,196.23,14.34
3.23,196.73,14.35
3.24,197.22,14.37
3.24,197.72,14.38
3.25,198.22,14.4
3.26,198.72,14.41
3.27,199.22,14.43
3.28,199.72,14.45
3.28,200.22,14.46
3.29,200.73,14.48
3.29,201.23,14.49
3.3,201.74,14.51
3.31,202.25,14.52
3.32,202.76,14.54
3.33,203.27,14.56
3.33,203.78,14.57
3.34,204.29,14.59
3.34,204.81,14.6
3.35,205.32,14.62
3.36,205.84,14.63
3.37,206.36,14.65
3.37,206.88,14.66
3.38,207.4,14.68
3.39,207.92,14.7
3.39,208.45,14.71
3.4,208.97,14.73
3.41,209.5,14.74
3.42,210.03,14.76
3.42,210.56,14.77
3.43,211.09,14.79
3.44,211.62,14.81
3.45,212.15,14.82
3.45,212.69,14.84
3.46,213.22,14.85
3.47,213.76,14.87
3.47,214.3,14.88
3.48,214.84,14.9
3.49,215.38,14.92
3.5,215.92,14.93
3.51,216.47,14.95
3.51,217.01,14.96
3.52,217.56,14.98
3.52,218.11,14.99
3.53,218.66,15.01
3.54,219.21,15.02
3.55,219.76,15.04
3.56,220.31,15.06
3.56,220.87,15.07
3.57,221.42,15.09
3.58,221.98,15.1
3.59,222.54,15.12
3.59,223.1,15.13
3.6,223.66,15.15
3.61,224.23,15.17
3.61,224.79,15.18
3.62,225.36,15.2
3.63,225.93,15.21
3.64,226.5,15.23
3.64,227.07,15.24
3.65,227.64,15.26
3.66,228.21,15.27
3.67,228.79,15.29
3.68,229.36,15.31
3.68,229.94,15.32
3.69,230.52,15.34
3.7,231.1,15.35
3.71,231.68,15.37
3.71,232.27,15.38
3.72,232.85,15.4
3.73,233.44,15.42
3.73,234.03,15.43
3.74,234.62,15.45
3.75,235.21,15.46
3.76,235.8,15.48
3.76,236.4,15.49
3.77,236.99,15.51
3.78,237.59,15.52
3.79,238.19,15.54
3.8,238.79,15.56
3.8,239.39,15.57
3.81,239.99,15.59
3.82,240.6,15.6
3.83,241.2,15.62
3.83,241.81,15.63
3.84,242.42,15.65
3.85,243.03,15.67
3.86,243.64,15.68
3.87,244.26,15.7
3.87,244.87,15.71
3.88,245.49,15.73
3.89,246.11,15.74
3.9,246.73,15.76
3.9,247.35,15.77
3.91,247.97,15.79
3.92,248.6,15.81
3.93,249.22,15.82
3.94,249.85,15.84
3.94,250.48,15.85
3.95,251.11,15.87
3.96,251.74,15.88
3.97,252.38,15.9
3.98,253.01,15.92
3.98,253.65,15.93
3.99,254.29,15.95
4.0,254.93,15.96
4.01,255.57,15.98
4.01,256.22,15.99
4.02,256.86,16.01
4.03,257.51,16.02
4.04,258.16,16.04
4.05,258.81,16.06
4.05,259.46,16.07
4.06,260.12,16.09
4.07,260.77,16.1
4.08,261.43,16.12
4.08,262.09,16.13
4.09,262.75,16.15
4.1,263.41,16.17
4.11,264.07,16.18
4.12,264.74,16.2
4.12,265.41,16.21
4.13,266.07,16.23
4.14,266.74,16.24
4.15,267.42,16.26
4.15,268.09,16.27
4.16,268.77,16.29
4.17,269.44,16.31
4.18,270.12,16.32
4.19,270.8,16.34
4.19,271.48,16.35
4.2,272.17,16.37
4.21,272.85,16.38
4.22,273.54,16.4
